LINE, REF, QTY, TYP, PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,PiUpdi Board,,,TOTAL,
,,,,,,9/19/19 (19260^0),,,=SUM(J5:J100),
,,,,,,,,,,
1,,=1/3,BOARD,OSHPARK,,PCB 2 LAYER ENIG 3 COPY,(),18.20,=C5*I5,UPDI
,,,,,,,,,,
,,,,,,NOTES,,,,


